iter	Passed	Remaining
134	15374	52956
135	15482	52823
136	15599	52719
137	15689	52526
138	15779	52334
139	15881	52182
140	15954	51935
141	16067	51823
142	16158	51639
143	16261	51494
144	16350	51305
145	16450	51154
146	16567	51056
147	16667	50903
148	16762	50738
149	16854	50562
150	16935	50356
151	17033	50203
152	17120	50017
153	17213	49852
154	17323	49735
155	17410	49552
156	17501	49383
157	17633	49329
158	17720	49148
159	17803	48960
160	17888	48776
161	17979	48612
162	18083	48482
163	18191	48363
164	18282	48199
165	18369	48026
166	18475	47903
167	18596	47818
168	18672	47620
169	18772	47483
170	18874	47352
171	18965	47193
172	19049	47018
173	19126	46827
174	19273	46807
175	19387	46706
176	19470	46530
177	19577	46414
178	19663	46247
179	19753	46092
180	19893	46052
181	20004	45943
182	20078	45751
183	20255	45795
184	20402	45768
185	20569	45784
186	20659	45628
187	20737	45445
188	20818	45271
189	20909	45121
190	20993	44954
191	21069	44772
192	21165	44633
193	21267	44508
194	21369	44383
195	21465	44246
196	21558	44101
197	21653	43964
198	21745	43817
199	21825	43651
200	21900	43474
201	21990	43327
202	22066	43154
203	22162	43021
204	22248	42868
205	22334	42717
206	22416	42558
207	22524	42449
208	22643	42362
209	22715	42186
210	22822	42076
211	22941	41987
212	23086	41946
213	23263	41961
214	23348	41809
215	23435	41663
216	23521	41514
217	23614	41378
218	23718	41263
219	23809	41126
220	23973	41112
221	24059	40966
222	24159	40842
223	24246	40699
224	24361	40602
225	24502	40548
226	24581	40391
227	24675	40259
228	24766	40124
229	24868	40005
230	24957	39866
231	25054	39742
232	25138	39595
233	25224	39454
234	25329	39342
235	25403	39182
236	25538	39115
237	25642	39002
238	25733	38869
239	25841	38762
240	25920	38612
241	26015	38485
242	26111	38360
243	26188	38209
244	26329	38150
245	26402	37994
246	26491	37859
247	26573	37717
248	26648	37565
249	26736	37431
250	26818	37290
251	26908	37158
252	27006	37040
253	27082	36892
254	27177	36769
255	27261	36632
256	27349	36500
257	27529	36492
258	27611	36353
259	27729	36261
260	27808	36119
261	27903	35997
262	28004	35884
263	28083	35742
264	28183	35628
265	28276	35504
266	28353	35362
267	28440	35232
268	28527	35102
269	28605	34962
270	28686	34826
271	28786	34713
272	28872	34583
273	28988	34489
274	29075	34362
275	29174	34248
276	29275	34136
277	29361	34008
278	29503	33945
279	29593	33821
280	29669	33682
281	29752	33550
282	29849	33436
283	29942	33316
284	30037	33199
285	30137	33088
286	30227	32965
287	30323	32849
288	30438	32756
289	30538	32645
290	30614	32507
291	30739	32423
292	30832	32305
293	30914	32176
294	31102	32156
295	31256	32101
296	31380	32014
297	31484	31907
298	31618	31829
299	31709	31709
300	31796	31585
301	31873	31451
302	31979	31346
303	32088	31244
304	32193	31137
305	32288	31021
306	32383	30906
307	32471	30784
308	32617	30717
309	32750	30637
310	32848	30524
311	32949	30415
312	33033	30289
313	33126	30172
314	33260	30092
315	33433	30048
316	33527	29931
317	33614	29808
318	33746	29726
319	33838	29608
320	33919	29481
321	34013	29365
322	34101	29244
323	34179	29115
324	34263	28991
325	34354	28874
326	34451	28762
327	34596	28689
328	34734	28611
329	34863	28524
330	34958	28410
331	35032	28279
332	35116	28156
333	35191	28026
334	35280	27908
335	35383	27801
336	35476	27686
337	35553	27559
338	35638	27438
339	35739	27330
340	35831	27215
341	35907	27088
342	35989	26966
343	36076	26847
344	36182	26743
345	36275	26630
346	36376	26522
347	36472	26411
348	36579	26308
349	36692	26209
350	36788	26097
351	36905	26001
352	36993	25884
353	37115	25792
354	37222	25688
355	37314	25575
356	37398	25456
357	37497	25347
358	37579	25227
359	37655	25103
360	37783	25014
361	37884	24907
362	37975	24793
363	38060	24676
364	38159	24568
365	38254	24457
366	38397	24377
367	38507	24276
368	38600	24164
369	38702	24058
370	38797	23947
371	38905	23845
372	38995	23732
373	39089	23620
374	39191	23514
375	39264	23391
376	39356	23279
377	39443	23165
378	39548	23060
379	39693	22980
380	39785	22869
381	39879	22758
382	39977	22650
383	40064	22536
384	40143	22417
385	40240	22309
386	40325	22194
387	40418	22084
388	40514	21975
389	40605	21864
390	40692	21750
391	40765	21630
392	40847	21514
393	40926	21398
394	41001	21279
395	41117	21181
396	41193	21063
397	41287	20955
398	41379	20845
399	41465	20732
400	41550	20619
401	41623	20501
402	41716	20392
403	41788	20273
404	41867	20158
405	41994	20066
406	42151	19988
407	42269	19891
408	42352	19778
409	42466	19679
410	42565	19573
411	42694	19482
412	42807	19382
413	42887	19268
414	42982	19160
415	43055	19043
416	43142	18932
417	43216	18816
418	43294	18702
419	43388	18594
420	43521	18504
421	43697	18431
422	43809	18331
423	43911	18227
424	43992	18114
425	44080	18004
426	44168	17894
427	44245	17781
428	44334	17671
429	44412	17558
430	44507	17451
431	44611	17348
432	44758	17262
433	44858	17157
434	44943	17047
435	45022	16935
436	45114	16827
437	45211	16722
438	45313	16618
439	45407	16511
440	45510	16408
441	45700	16336
442	45799	16231
443	45875	16118
444	45957	16007
445	46027	15893
446	46130	15789
447	46224	15683
448	46306	15572
449	46396	15465
450	46475	15354
451	46572	15249
452	46666	15143
453	46768	15040
454	46859	14933
455	46944	14824
456	47036	14718
457	47122	14610
458	47213	14503
459	47288	14392
460	47386	14287
461	47472	14180
462	47576	14077
463	47730	13989
464	47846	13890
465	47925	13781
466	48042	13682
467	48148	13580
468	48259	13479
469	48351	13373
470	48453	13270
471	48539	13163
472	48632	13057
473	48727	12952
474	48823	12848
475	48928	12746
476	49008	12637
477	49090	12529
478	49217	12432
479	49312	12328
480	49402	12222
481	49495	12117
482	49597	12014
483	49703	11912
484	49847	11819
485	49953	11717
486	50043	11611
487	50146	11509
488	50232	11402
489	50314	11295
490	50407	11190
491	50496	11084
492	50614	10985
493	50721	10883
494	50818	10779
495	50905	10673
496	51017	10572
497	51105	10467
498	51205	10364
499	51297	10259
500	51373	10151
501	51462	10046
502	51554	9941
503	51638	9835
504	51734	9732
505	51811	9625
506	51896	9519
507	51989	9415
508	52083	9311
509	52173	9207
510	52267	9103
511	52353	8998
512	52453	8895
513	52537	8790
514	52632	8686
515	52782	8592
516	52942	8499
517	53043	8396
518	53125	8291
519	53260	8193
520	53354	8090
521	53441	7985
522	53553	7884
523	53639	7779
524	53807	7686
525	53917	7585
526	54082	7491
527	54173	7387
528	54279	7285
529	54371	7181
530	54452	7075
531	54536	6970
532	54627	6866
533	54704	6761
534	54800	6658
535	54939	6559
536	55034	6456
537	55139	6354
538	55230	6250
539	55320	6146
540	55400	6041
541	55511	5940
542	55600	5836
543	55696	5733
544	55788	5630
545	55880	5526
546	55971	5423
547	56085	5321
548	56169	5217
549	56253	5113
550	56338	5010
551	56473	4910
552	56597	4810
553	56676	4705
554	56772	4603
555	56868	4500
556	56968	4397
557	57064	4295
558	57166	4192
559	57259	4089
560	57358	3987
561	57464	3885
562	57565	3783
563	57666	3680
564	57787	3579
565	57924	3479
566	58005	3375
567	58093	3272
568	58195	3170
569	58269	3066
570	58375	2964
571	58473	2862
572	58567	2759
573	58660	2657
574	58767	2555
575	58878	2453
576	58988	2351
577	59074	2248
578	59190	2146
579	59281	2044
580	59405	1942
581	59489	1839
582	59576	1737
583	59675	1634
584	59766	1532
585	59872	1430
586	59982	1328
587	60122	1226
588	60232	1124
589	60310	1022
590	60397	919
591	60490	817
592	60594	715
593	60683	612
594	60774	510
595	60874	408
596	60945	306
597	61058	204
598	61155	102
599	61232	0
