iter	Logloss
0	0.6310640015
1	0.5779631836
2	0.5363490601
3	0.496806897
4	0.462138501
5	0.4351577881
6	0.4143342651
7	0.3973210815
8	0.3815094299
9	0.3682164734
10	0.3561064209
11	0.3451705994
12	0.3383285278
13	0.3294781128
14	0.3243087952
15	0.318044928
16	0.3125661499
17	0.3081762512
18	0.3032310486
19	0.2985088013
20	0.2942808594
21	0.2908533936
22	0.2872969116
23	0.285159668
24	0.2822168823
25	0.2805351501
26	0.2778820801
27	0.2764083191
28	0.2747443665
29	0.2725826538
30	0.2708178284
31	0.2695783447
32	0.2678155457
33	0.2666430481
34	0.2656869812
35	0.2646637268
36	0.2635351624
37	0.2621402466
38	0.261231488
39	0.2602569153
40	0.2594640442
41	0.2584336426
42	0.2576584961
43	0.2567440002
44	0.2558925476
45	0.2552122803
46	0.2543420044
47	0.2537407471
48	0.2527979797
49	0.2520489258
50	0.2513166931
51	0.2507490173
52	0.2500276855
53	0.2492939087
54	0.2485162048
55	0.247950708
56	0.2475410095
57	0.2468647522
58	0.2463192993
59	0.2458041931
60	0.2453805664
61	0.2450369995
62	0.2442004883
63	0.2435798523
64	0.243143396
65	0.2426515991
66	0.2423726196
67	0.2418753113
68	0.2413328918
69	0.2409309998
70	0.2404650635
71	0.2399852478
72	0.2395803955
73	0.2392023865
74	0.2386716614
75	0.2382167542
76	0.2377259399
77	0.2374003662
78	0.2370291138
79	0.2364720581
80	0.2360486389
81	0.2356382263
82	0.2353941162
83	0.2349163757
84	0.234511731
85	0.2341771423
86	0.2335565491
87	0.2331470459
88	0.2328492737
89	0.2324596069
90	0.2321674438
91	0.2317238464
92	0.231290332
93	0.2309021179
94	0.2305828125
95	0.2303278381
96	0.2300222473
97	0.2296683289
98	0.2293031494
99	0.2288418152
100	0.2284738037
101	0.2281759888
102	0.2278327087
103	0.2274733582
104	0.227135321
105	0.2266916199
106	0.226386322
107	0.2258618652
108	0.2256820068
109	0.2252888489
110	0.2250478516
111	0.2247168762
112	0.2245496216
113	0.2241723938
114	0.2238918823
115	0.2235466064
116	0.2232945068
117	0.2230165955
118	0.2227772827
119	0.2225727417
120	0.2223427612
121	0.2221511047
122	0.221797876
123	0.2215872253
124	0.221221991
125	0.2208572449
126	0.2205647583
127	0.2202716736
128	0.2200127319
129	0.2197289124
130	0.2193962219
131	0.2190796814
132	0.218790332
133	0.2185183594
134	0.2182183289
135	0.2180261719
136	0.2177291443
137	0.217496698
138	0.2172848755
139	0.2168416748
140	0.2165916565
141	0.2164083618
142	0.2161758972
143	0.2157839966
144	0.2154871521
145	0.2151321045
146	0.2147240417
147	0.2143881836
148	0.2140450317
149	0.2137813538
150	0.2135676147
151	0.2131899109
152	0.213065863
153	0.2126757629
154	0.2122862122
155	0.2120958374
156	0.2118906982
157	0.2113764038
158	0.2110718994
159	0.210721344
160	0.2102082581
161	0.209980188
162	0.2097081238
163	0.2094973297
164	0.2091765808
165	0.2088285065
166	0.2085869263
167	0.2084042023
168	0.2080590759
169	0.2078411499
170	0.2073960052
171	0.2071046143
172	0.206719046
173	0.2066403198
174	0.2062966614
175	0.2060140503
176	0.2057749298
177	0.2054666748
178	0.2052205902
179	0.2047837921
180	0.2045315918
181	0.2042907898
182	0.2041612732
183	0.2038939667
184	0.2035266693
185	0.2031639954
186	0.2028799805
187	0.2024884949
188	0.202053537
189	0.2019867828
190	0.2016967987
191	0.2014187347
192	0.2010526947
193	0.2007921997
194	0.2005353668
195	0.2002348938
196	0.2000439606
197	0.1996265533
198	0.1994015808
199	0.1989473907
